id_transaksi,tanggal,total,diskon,no_cc,id_kasir,id_pramuniaga,kassa,infaq,id_barang,qty,disc_item
13512134961,2012-10-26,142700,0,,242,139,1,300,0011201306,1,0
13512134961,2012-10-26,142700,0,,242,139,1,300,0101200006,1,0
13512134961,2012-10-26,142700,0,,242,139,1,300,0151200322,1,0
13512165781,2012-10-26,34400,0,,242,181,1,100,0181201160,1,0
13512165781,2012-10-26,34400,0,,242,181,1,100,0391200006,1,0
13512174271,2012-10-26,86200,10,,242,219,1,300,0261200208,1,0
13512174271,2012-10-26,86200,10,,242,219,1,300,0631200545,1,0
13512192351,2012-10-26,137900,0,,242,204,1,100,0061100153,1,0
13512192991,2012-10-26,165800,0,,242,206,1,200,0071200680,1,0
13512192991,2012-10-26,165800,0,,242,206,1,200,0151100380,1,0
13512209191,2012-10-26,24700,0,,242,219,1,300,0251200104,1,10
13512213361,2012-10-26,237800,0,,242,215,1,200,0171100661,1,0
13512213361,2012-10-26,237800,0,,242,215,1,200,0171200589,1,0
13512213361,2012-10-26,237800,0,,242,215,1,200,8881200159,1,0
13512216251,2012-10-26,139400,0,,242,218,1,100,0331200156,1,0
13512216251,2012-10-26,139400,0,,242,218,1,100,0341200034,1,0
13512229841,2012-10-26,368600,0,,242,229,1,400,0301200261,1,0
13512229841,2012-10-26,368600,0,,242,229,1,400,0631200497,1,0
13512229841,2012-10-26,368600,0,,242,229,1,400,0631200525,1,0
13512229841,2012-10-26,368600,0,,242,229,1,400,0711200857,1,0
13512234521,2012-10-26,0,0,,242,229,1,0,8881200219,1,0
13512238041,2012-10-26,132800,0,,242,222,1,200,0731202992,1,0
13512238041,2012-10-26,132800,0,,242,222,1,200,0731203287,1,0
13512295781,2012-10-26,84900,0,,242,213,1,100,0011201280,1,0
13512299381,2012-10-26,65700,0,,242,204,1,300,0151200074,1,0
13512299381,2012-10-26,65700,0,,242,204,1,300,0151200322,1,0
13512299381,2012-10-26,65700,0,,242,204,1,300,0511200121,1,0
13512312111,2012-10-26,132700,0,,242,181,1,300,0131201056,1,0
13512312111,2012-10-26,132700,0,,242,181,1,300,0161200309,1,0
13512312111,2012-10-26,132700,0,,242,181,1,300,0181200485,1,0
